Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
943	Defect	Skyline	Importing BLIB into IMSDB, we should take mean of multiple IM values instead of creating multiple entries	guest	3	closed	
942	Todo	Skyline	Add Start Time and End Time to spectrum properties	guest	3	closed	23.1
941	Defect	Skyline	Red and green dots in Targets tree should be customizable colors, or different shapes	guest	3	closed	
940	Defect	AutoQC	Add sample file filtering option to AutoQC Loader	guest	3	closed	
939	Defect	Skyline	Off-by-one in Enzyme.GetMatches() dealing with protein C-terminus	guest	3	closed	23.1
938	Todo	Skyline	Add property sheets to spectrum graphs	guest	2	closed	23.1
937	Defect	Skyline	DIA Umpire tests are much slower for languages with a comma decimal separator	guest	2	closed	23.1
936	Todo	Skyline	Thermo Eclipse and Fusion Lumos method export	guest	3	closed	23.1
935	Defect	Skyline	Capture injection time as sample-scoped chromatogram	guest	3	closed	
934	Todo	Skyline	Enable optimization method export for more TOF instruments	guest	2	closed	
933	Todo	Skyline	Thorium method export	guest	2	closed	
932	Todo	TestResults	Summarize/graph pass1 iteration count for tests	guest	4	closed	
931	Todo	Skyline	Agilent MH 12 method export	guest	2	closed	
930	Todo	Skyline	Export isolation list (DIA) for Bruker timsTOF	guest	4	closed	
929	Defect	Skyline	When explicit ion mobility values are used, the reported CCS value should be adjusted appropriately in the resulting chromatogram extractions	guest	3	closed	
928	Defect	Skyline	AssumptionException saving document with protein groups sometimes	guest	2	closed	23.1
927	Defect	Skyline	Bibliospec - retain fragment charge values in MGF files	guest	3	closed	
926	Todo	Skyline	Implement Bruker Paser support in BlibBuild	guest	2	closed	23.1
925	Defect	Skyline	Targets view hangs during mouse-over with peptides longer than 2000 or so	guest	3	closed	
924	Defect	Skyline	Fix ability to provide a protein description in Edit > Insert > Peptides	guest	3	closed	
923	Todo	Skyline	Implement an interface that allows for multiple algorithms to do peak group assignment	guest	3	closed	
922	Defect	Skyline	Edit > Find needs to use LongWaitDlg and support cancel	guest	3	closed	23.1
921	Todo	Skyline	Transition list reader should identify special ions by m/z the same way it does calculated peptide fragment ions	guest	3	closed	
920	Defect	Skyline	When Group By fails in replicate comparison graphs you lose the Order By menu item	guest	3	closed	23.1
919	Defect	Skyline	SpectrumLibraryInfoDlg scoring columns should match library build columns	guest	3	closed	23.1
918	Defect	Skyline	"a few issues with ""Use Results"" in ion mobility libraries"	guest	3	closed	23.1
917	Defect	Skyline	Ion mobility high energy offset should be applied for all Full Scan MS/MS modes, not just All Ions DIA	guest	3	closed	23.1
916	Documentation	Skyline	Document normalization methods	guest	2	closed	22.2
915	Defect	Skyline	Library Match and Full-Scan - Right-click menu item order is broken in 22.2	guest	2	closed	22.2
914	Defect	Skyline	Proteomics features still showing in small molecule mode	guest	3	closed	23.1
913	Todo	Skyline	Make Ctrl-A work in Import > Results form to select all files in a folder	guest	3	closed	22.2
912	Defect	Skyline	Auto-Zoom X Axis > Best Peak does nothing for chromatograms with removed peaks	guest	3	closed	24.2
